SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Operators,Buds,15.5,6,233.35
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Operators,Infused (edible),4.0,4,112.51
2001-01-01 - 2026-04-12,2021-07-15,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,26.3,7,445.89
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Buds,113.8,29,1560.2
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),5.5,6,345.0
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Infused (edible),50.0,39,1348.0
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),5.0,2,100.0
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Infused Beverage,17.0,9,119.0
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,1.5,2,40.0
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,54.5,29,795.0
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Couriers,Vape Product,64.0,50,2755.07
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Operators,Buds,3.5,1,50.0
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Operators,Infused (edible),3.0,3,66.67
2001-01-01 - 2026-04-12,2021-07-16,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,7.9,4,150.03
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Buds,241.1,71,3484.08
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),8.0,7,320.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Infused (edible),34.0,33,1062.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),5.0,4,100.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Infused Beverage,3.0,2,21.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Kief,1.0,1,30.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,27.75,6,369.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Couriers,Vape Product,37.0,31,2210.0
2001-01-01 - 2026-04-12,2021-07-17,Historical,Adult-Use,Delivery Operators,Buds,14.0,6,216.69
